string	citation	standard_citation	citation_id
@doi:10.1002/jcc.20035	doi:10.1002/jcc.20035	doi:10.1002/jcc.20035	YmRgHfeU
@doi:10.1007/s003390201338	doi:10.1007/s003390201338	doi:10.1007/s003390201338	18PGyWtWV
@doi:10.1007/s10822-016-9970-8	doi:10.1007/s10822-016-9970-8	doi:10.1007/s10822-016-9970-8	uzHaEv9Z
@doi:10.1007/s10822-016-9974-4	doi:10.1007/s10822-016-9974-4	doi:10.1007/s10822-016-9974-4	BGsUYQln
@doi:10.1007/s12274-008-8041-4	doi:10.1007/s12274-008-8041-4	doi:10.1007/s12274-008-8041-4	10MPrT2Vf
@tag:test	doi:10.1016/0304-3835(92)90277-3	doi:10.1016/0304-3835(92)90277-3	8Xw2kuUO
@doi:10.1016/j.bpj.2016.11.1216	doi:10.1016/j.bpj.2016.11.1216	doi:10.1016/j.bpj.2016.11.1216	5PUA7pLD
@doi:10.1016/j.bpj.2018.02.008	doi:10.1016/j.bpj.2018.02.008	doi:10.1016/j.bpj.2018.02.008	1BfYw0gk2
@doi:10.1016/j.bpj.2018.04.048	doi:10.1016/j.bpj.2018.04.048	doi:10.1016/j.bpj.2018.04.048	ior8wlwH
@doi:10.1016/j.chemphyslip.2014.01.001	doi:10.1016/j.chemphyslip.2014.01.001	doi:10.1016/j.chemphyslip.2014.01.001	Ag1rh6TA
@doi:10.1016/j.cis.2014.01.016	doi:10.1016/j.cis.2014.01.016	doi:10.1016/j.cis.2014.01.016	SdO7fVnR
@tag:lin	doi:10.1016/S0006-2952(99)00019-2	doi:10.1016/s0006-2952(99)00019-2	12CAxA8dE
@tag:overcrowding	doi:10.1016/S0040-4039(00)78887-3	doi:10.1016/s0040-4039(00)78887-3	2eTPSj9q
@doi:10.1021/acs.jctc.7b00359	doi:10.1021/acs.jctc.7b00359	doi:10.1021/acs.jctc.7b00359	HVgz5rZq
@doi:10.1021/bi9007879	doi:10.1021/bi9007879	doi:10.1021/bi9007879	JWXdIfNt
@doi:10.1021/bi9008616	doi:10.1021/bi9008616	doi:10.1021/bi9008616	8pFCG7HG
@doi:10.1021/ja208640t	doi:10.1021/ja208640t	doi:10.1021/ja208640t	LhOwGz4k
@doi:10.1021/ja8037245	doi:10.1021/ja8037245	doi:10.1021/ja8037245	Sjg8ym5x
@doi:10.1021/jp100609m	doi:10.1021/jp100609m	doi:10.1021/jp100609m	N6pRFM85
@doi:10.1021/jp401414y	doi:10.1021/jp401414y	doi:10.1021/jp401414y	1G0A01ZNq
@doi:10.1021/jz500737m	doi:10.1021/jz500737m	doi:10.1021/jz500737m	JFWYe0Pp
@doi:10.1021/ol703027h	doi:10.1021/ol703027h	doi:10.1021/ol703027h	Tels98bO
@doi:10.1038/440163a	doi:10.1038/440163a	doi:10.1038/440163a	thFGBz32
@doi:10.1038/nature05185	doi:10.1038/nature05185	doi:10.1038/nature05185	GGlssBvj
@doi:10.1038/nature10545	doi:10.1038/nature10545	doi:10.1038/nature10545	U2YHSNKE
@doi:10.1038/nature10587	doi:10.1038/nature10587	doi:10.1038/nature10587	OAnfwOYX
@doi:10.1038/nnano.2006.45	doi:10.1038/nnano.2006.45	doi:10.1038/nnano.2006.45	10FsKpWBI
@doi:10.1038/nrc2842	doi:10.1038/nrc2842	doi:10.1038/nrc2842	1DCzqvykg
@doi:10.1038/nrm2328	doi:10.1038/nrm2328	doi:10.1038/nrm2328	uyKE7bWV
@doi:10.1038/nsmb.2570	doi:10.1038/nsmb.2570	doi:10.1038/nsmb.2570	Gw4f4Ayu
@doi:10.1039/B101231M	doi:10.1039/B101231M	doi:10.1039/b101231m	jCuccJLJ
@doi:10.1039/c1cs15005g	doi:10.1039/c1cs15005g	doi:10.1039/c1cs15005g	SfUEsk0e
@doi:10.1039/C5CP00862J	doi:10.1039/C5CP00862J	doi:10.1039/c5cp00862j	1E1rz4J4o
@doi:10.1039/c7cc06683j	doi:10.1039/c7cc06683j	doi:10.1039/c7cc06683j	qhUBHBOM
@doi:10.1039/c7cs00245a	doi:10.1039/c7cs00245a	doi:10.1039/c7cs00245a	1H5r7SBir
@doi:10.1101/286542	doi:10.1101/286542	doi:10.1101/286542	HlBr7NrU
@doi:10.1126/science.1135394	doi:10.1126/science.1135394	doi:10.1126/science.1135394	1HRoQaadQ
@doi:10.1126/science.aam8808	doi:10.1126/science.aam8808	doi:10.1126/science.aam8808	mKSNFvW7
@doi:10.1146/annurev.biophys.31.082901.134259	doi:10.1146/annurev.biophys.31.082901.134259	doi:10.1146/annurev.biophys.31.082901.134259	3EmJ4esY
@doi:10.1146/annurev.cellbio.17.1.615	doi:10.1146/annurev.cellbio.17.1.615	doi:10.1146/annurev.cellbio.17.1.615	l2gqdgv
@doi:10.1158/1078-0432.CCR-07-0653	doi:10.1158/1078-0432.CCR-07-0653	doi:10.1158/1078-0432.ccr-07-0653	izLqFTEH
@doi:10.1242/bio.20122071	doi:10.1242/bio.20122071	doi:10.1242/bio.20122071	rvpDeSHJ
@tag:biophyscode	url:https://biophyscode.github.io	url:https://biophyscode.github.io	aHkuGDrS
@tag:biophysgit	url:https://github.com/biophyscode	url:https://github.com/biophyscode	14RTQvTQS
@url:https://github.com/leeping/forcebalance	url:https://github.com/leeping/forcebalance	url:https://github.com/leeping/forcebalance	8Q2gLatV
@url:www.google.com	url:www.google.com	url:www.google.com	1AHXI1BtY
